request_id,timestamp,mode,source_region,dest_region,cross_region,traffic,distance_km,eta,pickup_time,prep_time,delivery_time,request_latency_ms,computation_latency_ms,network_latency_ms,success,error,gossip_enabled,gossip_interval,node_count
req-00081-7cbfdf,1787491000.538761,edgesync,WEST,EAST,True,Low,14.0554,33.84,2.44,9.74,24.09,4070.804,0.245,2012.946,True,,True,5.0,3
req-00082-a8ef3e,1787491002.6181214,edgesync,CENTRAL,CENTRAL,False,Low,3.2744,16.59,7.16,10.98,5.61,2079.279,0.253,0.0,True,,True,5.0,3
req-00083-71aa55,1787491006.703312,edgesync,WEST,CENTRAL,True,Medium,18.8277,60.81,12.72,15.63,45.19,4085.106,0.225,2012.321,True,,True,5.0,3
req-00084-f0d233,1787491010.7587857,edgesync,CENTRAL,WEST,True,Medium,9.3636,30.06,7.58,6.18,22.47,4055.406,0.213,2018.965,True,,True,5.0,3
req-00085-080344,1787491012.8130813,edgesync,WEST,WEST,False,Medium,13.7468,49.36,7.34,16.37,32.99,2054.213,0.412,0.0,True,,True,5.0,3
req-00086-a8751b,1787491014.8820338,edgesync,EAST,EAST,False,Low,9.6139,23.42,2.62,6.94,16.48,2068.879,0.256,0.0,True,,True,5.0,3
req-00087-e39ca5,1787491018.9473403,edgesync,EAST,CENTRAL,True,Medium,18.2123,51.15,6.75,7.44,43.71,4065.224,0.181,2020.622,True,,True,5.0,3
req-00088-c6140b,1787491020.9913654,edgesync,WEST,WEST,False,High,9.3278,50.91,2.43,13.6,37.31,2043.936,0.202,0.0,True,,True,5.0,3
req-00089-08e4ec,1787491023.0480547,edgesync,EAST,EAST,False,Medium,2.0116,20.85,7.22,16.02,4.83,2056.614,0.256,0.0,True,,True,5.0,3
req-00090-3742fd,1787491027.1210303,edgesync,CENTRAL,EAST,True,High,14.6705,66.61,2.36,7.93,58.68,4072.899,0.216,2018.798,True,,True,5.0,3
req-00091-852a52,1787491031.2000103,edgesync,EAST,CENTRAL,True,Low,28.4924,59.47,6.46,10.63,48.84,4078.895,0.243,2022.588,True,,True,5.0,3
req-00092-3c1def,1787491035.2674587,edgesync,CENTRAL,WEST,True,High,31.5151,136.26,7.32,10.2,126.06,4067.365,0.294,2013.556,True,,True,5.0,3
req-00093-2d3f26,1787491039.3108008,edgesync,CENTRAL,WEST,True,High,8.986,43.28,7.03,7.33,35.94,4043.261,0.304,2013.088,True,,True,5.0,3
req-00094-47e22f,1787491043.4178622,edgesync,CENTRAL,EAST,True,Low,31.7759,60.5,2.47,6.02,54.47,4106.982,0.282,2028.562,True,,True,5.0,3
req-00095-60c5d2,1787491047.4877875,edgesync,EAST,CENTRAL,True,Low,32.7853,70.06,13.86,6.02,56.2,4069.841,0.256,2017.346,True,,True,5.0,3
req-00096-805bd4,1787491051.5582447,edgesync,EAST,WEST,True,Medium,13.6386,40.33,2.71,7.59,32.73,4070.375,0.254,2019.283,True,,True,5.0,3
req-00097-9b7619,1787491055.6236253,edgesync,WEST,EAST,True,High,13.8206,63.21,7.47,7.93,55.28,4065.311,0.407,2019.345,True,,True,5.0,3
req-00098-43c47d,1787491057.657636,edgesync,WEST,WEST,False,High,16.1982,78.85,6.67,14.05,64.79,2033.937,0.284,0.0,True,,True,5.0,3
req-00099-f3ef5b,1787491061.732733,edgesync,EAST,WEST,True,Medium,17.3353,54.99,13.39,8.21,41.6,4075.02,0.219,2016.781,True,,True,5.0,3
req-00100-2a4cb9,1787491065.8158028,edgesync,EAST,WEST,True,High,11.1261,60.83,2.61,16.32,44.5,4082.996,0.197,2030.0,True,,True,5.0,3
