experiment,sub_category,condition,N,mean_ms,std_ms,median_ms,p50_ms,p90_ms,p95_ms,p99_ms,success_rate_pct,throughput_rps,source_files
Network Sensitivity,L10_20ms,L10_20ms_Centralized,300,1.442,0.209,1.385,1.385,1.76,1.88,2.147,100.0,N/A (Sequential),results/network_sensitivity/raw/L10_20ms_trial1..3.csv
Network Sensitivity,L10_20ms,L10_20ms_EdgeSync,300,22.23,6.774,24.386,24.386,24.978,25.246,25.605,100.0,N/A (Sequential),results/network_sensitivity/raw/L10_20ms_trial1..3.csv
Network Sensitivity,L10_50ms,L10_50ms_Centralized,300,1.526,0.373,1.413,1.413,1.926,2.346,3.011,100.0,N/A (Sequential),results/network_sensitivity/raw/L10_50ms_trial1..3.csv
Network Sensitivity,L10_50ms,L10_50ms_EdgeSync,300,49.431,15.821,54.567,54.567,55.312,55.457,55.657,100.0,N/A (Sequential),results/network_sensitivity/raw/L10_50ms_trial1..3.csv
Scalability & Concurrency,C=1,centralized_c1,300,2.354,1.575,2.155,2.155,2.63,2.906,3.611,100.0,433.39,results/scalability/raw/centralized_c1_trial1..3.csv
Scalability & Concurrency,C=2,centralized_c2,300,3.36,2.173,2.848,2.848,4.381,5.121,8.69,100.0,601.59,results/scalability/raw/centralized_c2_trial1..3.csv
Scalability & Concurrency,C=4,centralized_c4,300,6.892,2.944,6.692,6.692,9.131,9.693,11.813,100.0,592.57,results/scalability/raw/centralized_c4_trial1..3.csv
Scalability & Concurrency,C=8,centralized_c8,300,13.444,3.772,12.881,12.881,17.75,19.35,23.989,100.0,596.73,results/scalability/raw/centralized_c8_trial1..3.csv
Scalability & Concurrency,C=16,centralized_c16,300,22.039,6.058,21.661,21.661,29.719,32.144,34.521,100.0,669.85,results/scalability/raw/centralized_c16_trial1..3.csv
Scalability & Concurrency,C=32,centralized_c32,300,33.342,13.54,32.73,32.73,50.659,54.161,71.175,100.0,600.12,results/scalability/raw/centralized_c32_trial1..3.csv
Scalability & Concurrency,C=64,centralized_c64,300,37.544,13.856,37.186,37.186,55.658,60.285,71.237,100.0,560.99,results/scalability/raw/centralized_c64_trial1..3.csv
Scalability & Concurrency,C=1,edgesync_local_c1,300,2.649,1.966,2.385,2.385,2.98,3.25,3.902,100.0,393.08,results/scalability/raw/edgesync_local_c1_trial1..3.csv
Scalability & Concurrency,C=2,edgesync_local_c2,300,3.809,2.366,3.213,3.213,5.291,6.476,12.102,100.0,558.21,results/scalability/raw/edgesync_local_c2_trial1..3.csv
Scalability & Concurrency,C=4,edgesync_local_c4,300,7.135,2.186,6.867,6.867,9.609,10.831,13.416,100.0,569.25,results/scalability/raw/edgesync_local_c4_trial1..3.csv
Scalability & Concurrency,C=8,edgesync_local_c8,300,12.445,3.52,12.127,12.127,16.922,18.394,21.269,100.0,649.56,results/scalability/raw/edgesync_local_c8_trial1..3.csv
Scalability & Concurrency,C=16,edgesync_local_c16,300,23.082,7.39,22.381,22.381,32.487,34.97,42.54,100.0,622.81,results/scalability/raw/edgesync_local_c16_trial1..3.csv
Scalability & Concurrency,C=32,edgesync_local_c32,300,37.236,15.578,36.062,36.062,56.668,63.447,80.391,100.0,548.01,results/scalability/raw/edgesync_local_c32_trial1..3.csv
Scalability & Concurrency,C=64,edgesync_local_c64,300,37.659,14.777,36.862,36.862,55.668,61.934,77.981,100.0,514.81,results/scalability/raw/edgesync_local_c64_trial1..3.csv
Scalability & Concurrency,C=1,edgesync_remote_c1,300,6.001,1.396,5.837,5.837,6.92,7.334,9.044,100.0,167.64,results/scalability/raw/edgesync_remote_c1_trial1..3.csv
Scalability & Concurrency,C=2,edgesync_remote_c2,300,8.988,1.155,9.001,9.001,10.359,10.932,11.763,100.0,224.55,results/scalability/raw/edgesync_remote_c2_trial1..3.csv
Scalability & Concurrency,C=4,edgesync_remote_c4,300,14.119,3.056,14.394,14.394,17.336,17.914,20.222,100.0,291.36,results/scalability/raw/edgesync_remote_c4_trial1..3.csv
Scalability & Concurrency,C=8,edgesync_remote_c8,300,25.45,5.722,25.502,25.502,32.475,34.239,37.277,100.0,321.87,results/scalability/raw/edgesync_remote_c8_trial1..3.csv
Scalability & Concurrency,C=16,edgesync_remote_c16,300,46.244,8.785,46.791,46.791,53.498,58.291,66.882,100.0,341.04,results/scalability/raw/edgesync_remote_c16_trial1..3.csv
Scalability & Concurrency,C=32,edgesync_remote_c32,300,88.534,39.585,86.182,86.182,140.313,177.208,226.063,100.0,322.75,results/scalability/raw/edgesync_remote_c32_trial1..3.csv
Scalability & Concurrency,C=64,edgesync_remote_c64,300,121.164,59.413,99.803,99.803,207.273,214.769,220.515,100.0,288.01,results/scalability/raw/edgesync_remote_c64_trial1..3.csv
Fault Tolerance (Valid Subset),scenario_0_baseline,Scenario 0 (Control Baseline),600,2.629,0.896,2.788,2.788,3.715,3.909,4.323,100.0,N/A (Timeline),"scenario_0_baseline_trial1.csv, scenario_0_baseline_trial2.csv, scenario_0_baseline_trial3.csv"
Fault Tolerance (Valid Subset),scenario_1_peer_crash,Scenario 1 (Peer Process Crash),600,513.882,886.282,2.849,2.849,2049.688,2056.552,2063.95,100.0,N/A (Timeline),"scenario_1_peer_crash_trial1.csv, scenario_1_peer_crash_trial2.csv, scenario_1_peer_crash_trial3.csv"
Fault Tolerance (Valid Subset),scenario_2_peer_unavailable,Scenario 2 (Peer Unavailability - Trials 1 & 2),400,513.643,886.145,3.016,3.016,2046.389,2054.992,2061.303,100.0,N/A (Timeline),"scenario_2_peer_unavailable_trial1.csv, scenario_2_peer_unavailable_trial2.csv"
Fault Tolerance (Valid Subset),scenario_6_node_recovery,Scenario 6 (Node Recovery - Trials 2 & 3),400,513.987,886.185,3.219,3.219,2046.48,2055.261,2062.931,100.0,N/A (Timeline),"scenario_6_node_recovery_trial2.csv, scenario_6_node_recovery_trial3.csv"
