trial_id,locality,configured_network_delay_ms,architecture,N,mean,median,p50,p90,p95,p99,stddev,system_mean,network_mean
trial3,L10,5,EdgeSync,100,8.549,9.132,9.132,9.66,10.136,11.056,2.241,0.192,6.506
trial1,L10,10,Centralized,100,2.347,1.928,1.928,4.237,4.429,4.505,1.014,0.228,0.0
trial1,L10,10,EdgeSync,100,13.167,14.327,14.327,14.913,15.02,15.185,3.774,0.204,11.096
trial2,L10,10,Centralized,100,1.439,1.401,1.401,1.702,1.854,1.982,0.201,0.12,0.0
trial2,L10,10,EdgeSync,100,13.173,14.334,14.334,14.799,14.997,15.24,3.771,0.187,11.104
trial3,L10,10,Centralized,100,1.498,1.452,1.452,1.829,1.881,2.383,0.245,0.13,0.0
trial3,L10,10,EdgeSync,100,13.312,14.399,14.399,15.161,15.565,16.346,3.815,0.191,11.174
trial1,L10,20,Centralized,100,1.394,1.343,1.343,1.596,1.868,1.965,0.183,0.117,0.0
trial1,L10,20,EdgeSync,100,22.3,24.427,24.427,25.159,25.592,25.687,6.836,0.193,20.198
trial2,L10,20,Centralized,100,1.422,1.35,1.35,1.693,1.839,2.223,0.218,0.125,0.0
trial2,L10,20,EdgeSync,100,22.189,24.373,24.373,24.895,25.096,25.36,6.795,0.2,20.131
trial3,L10,20,Centralized,100,1.51,1.435,1.435,1.86,1.918,2.094,0.208,0.126,0.0
trial3,L10,20,EdgeSync,100,22.202,24.361,24.361,24.824,25.01,25.393,6.759,0.192,20.112
trial1,L10,50,Centralized,100,1.414,1.35,1.35,1.676,1.873,2.005,0.217,0.117,0.0
trial1,L10,50,EdgeSync,100,49.351,54.464,54.464,55.193,55.517,55.789,15.892,0.2,47.175
trial2,L10,50,Centralized,100,1.442,1.392,1.392,1.723,1.824,2.05,0.2,0.127,0.0
trial2,L10,50,EdgeSync,100,49.499,54.633,54.633,55.351,55.447,55.624,15.855,0.215,47.233
trial3,L10,50,Centralized,100,1.722,1.49,1.49,2.571,2.738,3.292,0.524,0.16,0.0
trial3,L10,50,EdgeSync,100,49.442,54.59,54.59,55.217,55.334,55.617,15.875,0.207,47.22
